Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,4.03,Vintage International,Paperback,123,1989,1942,2023/12/26,2023/12/26,,,read,,,,1,0
25893744,Hill (New York Review Books Classics),Jean Giono,"Giono, Jean","Paul Eprile, David Abram","=""1590179188""","=""9781590179185""",3,3.84,NYRB Classics,Paperback,115,2016,1928,2023/12/31,2023/12/31,,,read,,,,1,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",4,4.03,Vintage Books,Paperback,147,1991,1956,2023/12/28,2023/12/28,,,read,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",2,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,2023/12/24,2023/12/23,,,read,,,,1,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",4,3.96,Harper,Hardcover,368,2020,2018,2023/12/22,2023/12/22,,,read,,,,1,0
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Джейн Остин, Ros Ballaster","=""0141439661""","=""9780141439662""",0,4.09,Penguin Books,Paperback,409,2003,1811,2023/12/02,2023/12/02,,,read,,,,1,0
59693959,Lapvona,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""""","=""""",0,3.54,Penguin Press,Kindle Edition,313,2022,2022,,2023/11/12,to-read,to-read (#40),to-read,,,,0,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",5,4.05,Penguin Books,Paperback,474,2003,1815,2023/11/12,2023/08/22,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.29,Modern Library,Paperback,279,2023,1813,2023/11/03,2023/11/04,,,read,,,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.85,Saga Press,ebook,209,2019,2019,,2023/10/11,to-read,to-read (#39),to-read,,,,0,0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,"=""1593082649""","=""9781593082642""",0,3.85,Barnes & Noble Classics,Paperback,260,2005,1817,2023/10/08,2023/10/08,,,read,,,,1,0
54976986,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",0,4.10,Knopf,Hardcover,608,2021,2021,,2023/10/02,to-read,to-read (#38),to-read,,,,0,0
1188836,Letters for Literary Ladies: To Which Is Added an Essay on the Noble Science of Self-Justification (Everyman's Library),Maria Edgeworth,"Edgeworth, Maria",,"=""0460872508""","=""9780460872508""",0,3.34,Everymans Library,Paperback,95,1993,1798,2023/10/01,2023/10/01,,,read,,,,1,0
1656262,"Maria: or, The Wrongs of Woman",Mary Wollstonecraft,"Wollstonecraft, Mary",,"=""0393311694""","=""9780393311693""",0,3.46,W. W. Norton & Company,Paperback,138,1994,1788,2023/09/25,2023/09/25,,,read,,,,1,0
780730,A Sicilian Romance,Ann Radcliffe,"Radcliffe, Ann",,"=""0192836668""","=""9780192836663""",0,3.39,Oxford University Press,Paperback,209,1999,1790,2023/09/16,2023/09/16,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",2,4.13,Knopf,Hardcover,401,2022,2022,2023/09/07,2023/08/08,,,read,,,,1,0
59357120,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.74,The Borough Press,Hardcover,329,2023,2023,,2023/08/31,to-read,to-read (#37),to-read,,,,0,0
30962053,The Idiot,Elif Batuman,"Batuman, Elif",,"=""1594205612""","=""9781594205613""",0,3.65,Penguin Press,Hardcover,423,2017,2017,,2023/08/31,to-read,to-read (#36),to-read,,,,0,0
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.47,Penguin Books,Paperback,305,2020,2019,,2023/08/31,to-read,to-read (#35),to-read,,,,0,0
